"Preis";"Kerne";"Takt_Prozessor";"Arbeitsspeicher";"Bild_Display";"Speicher_Grafik";"extern_Schnittstellen";"HDD";"SSD";"Akku_Kapazitaet";"PPI_Display";"Pixelshader";"Typ_Arbeitsspeicher_DDR_4";"Laufwerk_VORHANDEN";"Lautsprecher_UEBERDURCHSCHN";"Tastatur_Beleuchtung_vorhanden";"Fingerabdrucksensor_vorhanden";"Touchscreen_vorhanden";"Mobilfunk_vorhanden";"NFC_vorhanden";"Akku_Typ_ION";"Marke_HP";"Marke_ASUS";"Marke_Acer";"Marke_Apple";"Marke_Dell";"Marke_Lenovo";"Betriebssystem_Windows";"Betriebssystem_Mac";"Betriebssystem_DOS";"Betriebssystem_LINUX";"Betriebssystem_OHNE";"Mikrofon_Sound_vorhanden"
1049;6;2200;16;17,3;4096;6;1000;128;56;127;768;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
1599;6;2600;16;17,3;6144;9;1000;512;70;127;1536;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
2229;4;1800;16;15,6;2048;8;0;1000;72;282;256;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1
849;4;1600;8;13,3;0;7;0;256;50;165;24;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1449;4;1600;16;13,3;0;5;0;512;56,2;165;24;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1699;6;2200;32;15,6;8192;9;1000;512;70;141;2048;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1699;6;2600;8;15,6;8192;8;0;512;66;141;2304;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1
1479;6;2600;16;15,6;4096;8;0;256;68;141;384;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
1399;6;2600;16;15,6;6144;7;1000;256;52,5;141;1536;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
899;4;2200;8;15,6;0;5;1000;128;52,5;141;640;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
799;4;1600;8;13,3;4096;6;0;256;50;165;384;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
2699;6;2200;16;17,3;8192;8;1000;256;74;127;2944;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1599;6;2600;16;15,6;6144;9;1000;512;69;141;1536;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
399;2;2600;8;17,3;0;6;0;256;41;127;192;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1399;6;2200;16;15,6;6144;9;1000;512;70;141;1280;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
949;4;1600;16;15,6;2048;6;1000;512;45;141;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1049;6;2200;8;15,6;6144;7;0;256;48;141;1280;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1
1499;6;2600;16;15,6;6144;7;0;512;66;141;1536;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
